iter	Logloss	CrossEntropy	Accuracy
43	0.1185627097	0.1185627097	0.9662428481
44	0.1157070247	0.1157070247	0.9664971392
45	0.1145796132	0.1145796132	0.9668467896
46	0.1129754905	0.1129754905	0.9671805467
47	0.1109168332	0.1109168332	0.9674348379
48	0.1100010802	0.1100010802	0.9681023522
49	0.1087352995	0.1087352995	0.9682930706
50	0.1068468672	0.1068468672	0.9683407502
51	0.1054124551	0.1054124551	0.9687857597
52	0.1042361711	0.1042361711	0.969214876
53	0.1026555362	0.1026555362	0.9693579148
54	0.1017815489	0.1017815489	0.9695963128
55	0.1004093266	0.1004093266	0.9701684679
56	0.09828491374	0.09828491374	0.9703750795
57	0.09775747975	0.09775747975	0.9704704387
58	0.09669478879	0.09669478879	0.9706134774
59	0.09559278067	0.09559278067	0.971137953
60	0.09465216128	0.09465216128	0.9712015257
61	0.09359833002	0.09359833002	0.9712809917
62	0.09279515872	0.09279515872	0.9713445645
63	0.09230651384	0.09230651384	0.9717736809
64	0.09157238777	0.09157238777	0.9719643992
65	0.09075803947	0.09075803947	0.9720597584
66	0.08923205767	0.08923205767	0.9723935156
67	0.08788056782	0.08788056782	0.9725683408
68	0.0869990198	0.0869990198	0.9725842339
69	0.0861167299	0.0861167299	0.9728862047
70	0.08567182054	0.08567182054	0.9730133503
71	0.08460545194	0.08460545194	0.9731563891
72	0.08390771139	0.08390771139	0.9733471074
73	0.08332365715	0.08332365715	0.9735219326
74	0.08276070804	0.08276070804	0.9736013986
75	0.08229492153	0.08229492153	0.973633185
76	0.08135153015	0.08135153015	0.9739828353
77	0.08089486465	0.08089486465	0.9740940877
78	0.07988124598	0.07988124598	0.9741894469
79	0.07966560583	0.07966560583	0.9742848061
80	0.07890023979	0.07890023979	0.9744596313
81	0.07834181833	0.07834181833	0.9745708837
82	0.07778953691	0.07778953691	0.9745867769
83	0.07739594184	0.07739594184	0.9746503497
84	0.07678880461	0.07678880461	0.9746980292
85	0.07575478129	0.07575478129	0.9748887476
86	0.07479009521	0.07479009521	0.9748887476
87	0.07440560289	0.07440560289	0.9750635728
88	0.07384718739	0.07384718739	0.9751430388
89	0.07352873344	0.07352873344	0.975317864
90	0.07264006032	0.07264006032	0.9752701844
91	0.07218188304	0.07218188304	0.9753814367
92	0.0718051962	0.0718051962	0.9754450095
93	0.07144778638	0.07144778638	0.9755085823
94	0.07101136911	0.07101136911	0.9755721551
95	0.07065619344	0.07065619344	0.9757787667
96	0.07032890413	0.07032890413	0.9759059123
97	0.07009905182	0.07009905182	0.9760171647
98	0.06981308243	0.06981308243	0.976048951
99	0.0694328798	0.0694328798	0.9761125238
100	0.06919058306	0.06919058306	0.9760807374
101	0.06862710935	0.06862710935	0.976287349
102	0.06816999502	0.06816999502	0.976446281
103	0.06791590224	0.06791590224	0.9764621742
104	0.06758080857	0.06758080857	0.9764621742
105	0.0672413048	0.0672413048	0.976446281
106	0.06701774703	0.06701774703	0.9766687858
107	0.06651940957	0.06651940957	0.9766211062
108	0.06624518256	0.06624518256	0.9766369994
109	0.06583157761	0.06583157761	0.9767005722
110	0.06549158991	0.06549158991	0.9767164654
111	0.06528924615	0.06528924615	0.9767800381
112	0.06493073939	0.06493073939	0.9769071837
113	0.06462360108	0.06462360108	0.9770343293
114	0.06438175328	0.06438175328	0.9771455817
115	0.06392690562	0.06392690562	0.9771455817
116	0.06377066324	0.06377066324	0.9771296885
117	0.0632927003	0.0632927003	0.9772409409
118	0.0630462609	0.0630462609	0.9772250477
119	0.06276515223	0.06276515223	0.9773363001
120	0.06257093228	0.06257093228	0.9773204069
121	0.06240444135	0.06240444135	0.9773204069
122	0.06224966993	0.06224966993	0.9773204069
123	0.06206472017	0.06206472017	0.9773204069
124	0.06194280337	0.06194280337	0.9773680865
125	0.06172999022	0.06172999022	0.9774157661
126	0.06144544372	0.06144544372	0.9774316592
127	0.06106422798	0.06106422798	0.977495232
128	0.06093453593	0.06093453593	0.9775270184
129	0.06074794887	0.06074794887	0.9775905912
130	0.06061473989	0.06061473989	0.9776064844
131	0.06037886206	0.06037886206	0.9776859504
132	0.06028574254	0.06028574254	0.9777177368
133	0.06005936577	0.06005936577	0.9779402416
134	0.05998612891	0.05998612891	0.9779402416
135	0.05981175016	0.05981175016	0.9779561348
136	0.05959503585	0.05959503585	0.9780197076
137	0.05942500168	0.05942500168	0.978051494
138	0.05926458564	0.05926458564	0.978051494
139	0.05916506914	0.05916506914	0.978051494
140	0.05887259411	0.05887259411	0.9780197076
141	0.05854176029	0.05854176029	0.9780038144
142	0.058345555	0.058345555	0.9779879212
143	0.05812128328	0.05812128328	0.978051494
144	0.05799850999	0.05799850999	0.9780197076
145	0.05781534291	0.05781534291	0.9780673872
146	0.05764331703	0.05764331703	0.9781627463
147	0.05739523341	0.05739523341	0.9782581055
148	0.05725823053	0.05725823053	0.9782581055
149	0.05703073764	0.05703073764	0.9782898919
150	0.05690559702	0.05690559702	0.9782581055
151	0.05673666939	0.05673666939	0.9782898919
152	0.05657383342	0.05657383342	0.9782898919
153	0.05649083819	0.05649083819	0.9782898919
154	0.05639635606	0.05639635606	0.9783057851
155	0.05629446351	0.05629446351	0.9783057851
156	0.05618189464	0.05618189464	0.9782898919
157	0.05605243706	0.05605243706	0.9783534647
158	0.05597273334	0.05597273334	0.9783852511
159	0.05576190209	0.05576190209	0.9783693579
160	0.05557738575	0.05557738575	0.9784329307
161	0.05545417884	0.05545417884	0.9784488239
162	0.05535466932	0.05535466932	0.9784488239
163	0.05525107793	0.05525107793	0.9784170375
164	0.05518778762	0.05518778762	0.9784170375
165	0.05506993624	0.05506993624	0.9784488239
